file,sha,dup,y_roi,frac,full_ocr,full_plate,crop_ocr,crop_plate
00855d04-8a22-4690-984a-e7ed76f812ba.jpg,c266b2867951,,N,,,,,
02ef6a0c-cedb-4974-8f08-3b1a086116bf.jpg,49c8ec7b1847,,N,,KAO1AB1234,KA01ABI234,KAO1AB1234,KA01ABI234
0463ed75-c9c7-49a2-8168-9cc38816c61d.jpg,c14a797d32ed,,576x283,0.1769,,,BQPAILGLELDIFNT|AGE|IN|RE|5LAKHL|GLOBAL|ALUMNI|DIFECI|850|RECRUITERS|EXPLOREL|NEW|ANIMATION|CREATIVE|VFXIE|GAMET|CAREERS|DESIGN|DIGITAL|CONTENT|MHIZK|RILLS,RE51A021
07b43116-8d4f-431e-b13f-af71d38df590.jpg,17e54cce2092,,453x211,0.1037,,,,
0c7da862-687c-45c3-8c5c-6db2ca50931b.jpg,c266b2867951,00855d04-8a22-4690-984a-e7ed76f812ba.jpg,N,,,,,
0c986d92-73e6-4e44-bc98-eabec5feaa60.jpg,49c8ec7b1847,02ef6a0c-cedb-4974-8f08-3b1a086116bf.jpg,N,,KAO1AB1234,KA01ABI234,KAO1AB1234,KA01ABI234
11dd0c3e-ef1b-4eea-83b8-67529bd5cd3b.jpg,c266b2867951,00855d04-8a22-4690-984a-e7ed76f812ba.jpg,N,,,,,
149e1b58-5de2-431c-a253-58305a4151ad.jpg,c266b2867951,00855d04-8a22-4690-984a-e7ed76f812ba.jpg,N,,,,,
167ccc93-93ce-4d92-a953-431e1941bd50.jpg,c266b2867951,00855d04-8a22-4690-984a-e7ed76f812ba.jpg,N,,,,,
16b52b25-64a8-4246-a71b-07600feed37c.jpg,c266b2867951,00855d04-8a22-4690-984a-e7ed76f812ba.jpg,N,,,,,
1723191b-ee2c-46a9-96aa-e94c3cd4bde5.jpg,9acad989fba4,,N,,KAO1AB1234,KA01ABI234,KAO1AB1234,KA01ABI234
18143e36-8bf2-4378-8bd7-47e1331470d0.jpg,1ec1b1cccea9,,N,,KAOLAB1234,KA01ABI234,KAOLAB1234,KA01ABI234
187382e5-169d-46ea-8b4c-55c32f2ccc4d.jpg,294c4434a816,,259x85,0.0179,,,9B00M4|DRLVINGOCHOOL|VARMARGI|UC,PB00MA
19928e83-9334-4765-aab5-da4ddaf0fcaf.jpg,49c8ec7b1847,02ef6a0c-cedb-4974-8f08-3b1a086116bf.jpg,N,,KAO1AB1234,KA01ABI234,KAO1AB1234,KA01ABI234
1e31be0b-5334-4c6b-ac0d-b2b075eba209.jpg,c266b2867951,00855d04-8a22-4690-984a-e7ed76f812ba.jpg,N,,,,,
1fcc4418-bf94-4e49-be9e-d85c58d80ab9.jpg,c266b2867951,00855d04-8a22-4690-984a-e7ed76f812ba.jpg,N,,,,,
226442ea-9096-4fb5-b23f-18119783025a.png,d0935acfb3ea,,N,,,,,
241ab027-86a6-45f4-bd98-f35374443847.jpg,c266b2867951,00855d04-8a22-4690-984a-e7ed76f812ba.jpg,N,,,,,
2ac68cfc-1408-4b7b-a418-40ab968795b3.jpg,c14a797d32ed,0463ed75-c9c7-49a2-8168-9cc38816c61d.jpg,576x283,0.1769,,,BQPAILGLELDIFNT|AGE|IN|RE|5LAKHL|GLOBAL|ALUMNI|DIFECI|850|RECRUITERS|EXPLOREL|NEW|ANIMATION|CREATIVE|VFXIE|GAMET|CAREERS|DESIGN|DIGITAL|CONTENT|MHIZK|RILLS,RE51A021
2cfb06b0-e592-404e-b520-2a94880d3364.jpg,1ec1b1cccea9,18143e36-8bf2-4378-8bd7-47e1331470d0.jpg,N,,KAOLAB1234,KA01ABI234,KAOLAB1234,KA01ABI234
2fc2429e-2e50-4119-a49a-2b9e51f0e7b2.jpg,c266b2867951,00855d04-8a22-4690-984a-e7ed76f812ba.jpg,N,,,,,
2ffa34da-8b68-4ed8-a609-33d9d0a755ec.jpg,c14a797d32ed,0463ed75-c9c7-49a2-8168-9cc38816c61d.jpg,576x283,0.1769,,,BQPAILGLELDIFNT|AGE|IN|RE|5LAKHL|GLOBAL|ALUMNI|DIFECI|850|RECRUITERS|EXPLOREL|NEW|ANIMATION|CREATIVE|VFXIE|GAMET|CAREERS|DESIGN|DIGITAL|CONTENT|MHIZK|RILLS,RE51A021
33c3ecf3-6294-4fb3-a22f-d3d2c7d87f60.jpg,294c4434a816,187382e5-169d-46ea-8b4c-55c32f2ccc4d.jpg,259x85,0.0179,,,9B00M4|DRLVINGOCHOOL|VARMARGI|UC,PB00MA
34e18e38-b57d-4be9-8e6b-4494afffecda.jpg,49c8ec7b1847,02ef6a0c-cedb-4974-8f08-3b1a086116bf.jpg,N,,KAO1AB1234,KA01ABI234,KAO1AB1234,KA01ABI234
3863c45e-efbd-41db-8b45-03203e41680b.jpg,5abc5f139a20,,N,,,,,
39c1e0f1-02dd-43c6-a7f0-14232131c38b.jpg,bc0cddb9b66c,,N,,KA01AB1234,KA01AB1234,KA01AB1234,KA01AB1234
3a1d0684-df90-4a91-a296-330bfa1de27e.jpg,49c8ec7b1847,02ef6a0c-cedb-4974-8f08-3b1a086116bf.jpg,N,,KAO1AB1234,KA01ABI234,KAO1AB1234,KA01ABI234
3de48404-6c2f-47f4-a516-9afa98847e6e.jpg,49c8ec7b1847,02ef6a0c-cedb-4974-8f08-3b1a086116bf.jpg,N,,KAO1AB1234,KA01ABI234,KAO1AB1234,KA01ABI234
3df19be1-be01-41a2-8e44-8f7d17b221da.jpg,49c8ec7b1847,02ef6a0c-cedb-4974-8f08-3b1a086116bf.jpg,N,,KAO1AB1234,KA01ABI234,KAO1AB1234,KA01ABI234
3e0f6f79-b953-493d-8706-5eb9702ef598.jpg,294c4434a816,187382e5-169d-46ea-8b4c-55c32f2ccc4d.jpg,259x85,0.0179,,,9B00M4|DRLVINGOCHOOL|VARMARGI|UC,PB00MA
3fae8b3b-ccbe-44cf-9519-5157f05d7aed.jpg,c266b2867951,00855d04-8a22-4690-984a-e7ed76f812ba.jpg,N,,,,,
